REPORTER_STATE,BUYER_STATE,DRUG_NAME,YEAR,sum(DOSAGE_UNIT)
TN,NC,HYDROCODONE,2015,573180.0
GA,NJ,HYDROCODONE,2018,300.0
MI,NC,OXYCODONE,2019,36500.0
TN,NC,OXYCODONE,2015,800300.0
NC,NC,HYDROCODONE,2017,89763200.0
NH,NC,OXYCODONE,2016,3000.0
TN,NC,OXYCODONE,2017,1388450.0
MI,NC,HYDROCODONE,2016,103700.0
PA,NC,OXYCODONE,2016,12700.0
MN,MD,HYDROCODONE,2015,24100.0
VA,MD,HYDROCODONE,2015,20743910.0
MI,MD,HYDROCODONE,2015,87200.0
KY,CA,OXYCODONE,2019,4500.0
MS,MD,HYDROCODONE,2019,256220.0
OH,MD,OXYCODONE,2015,2742850.0
IL,MD,HYDROCODONE,2016,154930.0
KY,MD,HYDROCODONE,2016,5500.0
SC,MD,OXYCODONE,2017,1650740.0
MN,MD,HYDROCODONE,2018,19800.0
MN,MD,OXYCODONE,2017,41800.0
KS,CA,HYDROCODONE,2015,53000.0
CT,CA,HYDROCODONE,2015,15200.0
AL,NC,HYDROCODONE,2018,862300.0
MI,NC,HYDROCODONE,2018,71300.0
OH,NC,OXYCODONE,2018,2300.0
AL,LA,OXYCODONE,2009,484180.0
MS,LA,HYDROCODONE,2010,7799755.0
MS,LA,OXYCODONE,2011,5138320.0
MS,LA,OXYCODONE,2006,2329605.0
NY,LA,HYDROCODONE,2010,29410.0
MS,LA,OXYCODONE,2012,4687650.0
MI,LA,HYDROCODONE,2011,132900.0
CA,LA,OXYCODONE,2008,1441000.0
KS,LA,HYDROCODONE,2013,16500.0
FL,LA,OXYCODONE,2008,5360800.0
MS,LA,OXYCODONE,2009,3632140.0
TX,LA,OXYCODONE,2008,11068260.0
OH,LA,OXYCODONE,2010,652440.0
IA,LA,HYDROCODONE,2011,4100.0
AR,NC,OXYCODONE,2018,4977800.0
WI,FL,HYDROCODONE,2016,900.0
FL,FL,HYDROCODONE,2017,230459680.0
TX,FL,HYDROCODONE,2017,191800.0
ND,FL,HYDROCODONE,2017,64900.0
AZ,FL,OXYCODONE,2015,204700.0
CT,OH,HYDROCODONE,2009,40100.0
IN,OH,HYDROCODONE,2011,91431730.0
PA,OH,OXYCODONE,2013,30695838.0
MI,FL,HYDROCODONE,2018,157300.0
OH,OH,HYDROCODONE,2011,105310680.0
AL,OH,HYDROCODONE,2009,40900.0
SC,FL,OXYCODONE,2017,700.0
TN,OH,OXYCODONE,2014,18460.0
PA,OH,OXYCODONE,2006,14581973.0
AL,OH,HYDROCODONE,2010,76700.0
OH,OH,HYDROCODONE,2010,103126700.0
IN,OH,HYDROCODONE,2013,87762710.0
PA,OH,HYDROCODONE,2012,27314370.0
FL,OH,HYDROCODONE,2006,950900.0
NH,NC,OXYCODONE,2015,2000.0
SC,AR,HYDROCODONE,2017,3900.0
IN,AR,OXYCODONE,2019,500.0
LA,AR,HYDROCODONE,2019,1530340.0
CA,AR,HYDROCODONE,2015,1700.0
MO,AR,HYDROCODONE,2015,31782800.0
OK,AR,HYDROCODONE,2018,7590940.0
LA,AR,OXYCODONE,2019,508200.0
MI,AR,HYDROCODONE,2016,112000.0
LA,AR,OXYCODONE,2016,1346540.0
KY,AR,HYDROCODONE,2016,7925820.0
SC,SC,OXYCODONE,2017,3228800.0
GA,SC,OXYCODONE,2018,19077400.0
GA,SC,OXYCODONE,2016,20856880.0
NY,MO,HYDROCODONE,2015,40800.0
KY,MO,HYDROCODONE,2016,8901960.0
KS,MO,OXYCODONE,2017,2600.0
AL,MO,HYDROCODONE,2015,132600.0
CA,MO,HYDROCODONE,2015,13180.0
IL,MO,OXYCODONE,2018,2565750.0
TX,MO,HYDROCODONE,2016,28900.0
CA,MO,HYDROCODONE,2017,7360.0
AR,MO,HYDROCODONE,2018,10751630.0
MI,MO,OXYCODONE,2017,15500.0
OH,MO,HYDROCODONE,2017,3050.0
MI,MO,HYDROCODONE,2016,48000.0
MS,MO,OXYCODONE,2019,1613600.0
TN,MO,OXYCODONE,2019,841300.0
MS,SC,OXYCODONE,2017,100.0
MI,WV,OXYCODONE,2017,137700.0
NC,WV,HYDROCODONE,2018,1156500.0
IN,SC,HYDROCODONE,2016,300.0
MS,WV,OXYCODONE,2018,12000.0
AZ,WV,HYDROCODONE,2018,8000.0
AR,WV,OXYCODONE,2015,2741000.0
KY,WV,HYDROCODONE,2016,701160.0
PA,WV,HYDROCODONE,2016,4312820.0
AZ,WV,OXYCODONE,2017,20300.0
PA,WV,HYDROCODONE,2018,2627490.0
NY,WV,HYDROCODONE,2015,21500.0
IL,FL,HYDROCODONE,2015,1200.0
WI,WV,HYDROCODONE,2019,1700.0
AZ,WV,OXYCODONE,2015,7200.0
NC,WV,HYDROCODONE,2017,457450.0
WI,WV,HYDROCODONE,2017,1600.0
MI,MO,OXYCODONE,2015,700.0
CT,FL,HYDROCODONE,2015,9800.0
MO,FL,OXYCODONE,2019,182850.0
PA,AR,HYDROCODONE,2015,3700.0
IL,SC,OXYCODONE,2016,15660.0
WI,FL,HYDROCODONE,2019,2600.0
IN,AL,HYDROCODONE,2015,47700.0
TN,AL,OXYCODONE,2015,5436200.0
WI,AL,HYDROCODONE,2019,2500.0
OH,AL,OXYCODONE,2016,778700.0
CA,AL,OXYCODONE,2016,74155.0
AZ,AL,OXYCODONE,2016,264200.0
KY,AL,HYDROCODONE,2017,1636760.0
LA,AL,HYDROCODONE,2016,1851740.0
MS,AL,HYDROCODONE,2018,55242870.0
KS,AL,HYDROCODONE,2016,17800.0
NY,AL,OXYCODONE,2015,79300.0
